Text,Audio_File
is only a delaying tactics by the accused petitioner. 8. The learned counsel relied on a decision reported in 2010 1 ctc 424 (r. Jagadeesan,audio_1_33.mp3
"vs.  n. Ayyasamy and Anr. ) , wherein this court has held that finding the age of the writing in a document is only futile, since",audio_1_34.mp3
the head of the Dept.  of forensic science at chennai had stated that there is no scientific method available anywhere in this state to scientifically,audio_1_35.mp3
assess the age of any writing. 9. Heard and perused the materials available on record. 10. The petitioner has invoked sec.45 of indian evidence act,audio_1_36.mp3
contending that the cheque was not issued to the complainant but had been issued to the brother of the complainant during 1998 and 1999 and,audio_1_37.mp3
"to prove that the writings in the cheque do not belong to the year 2004 as dated in the cheque, the age of the ink",audio_1_38.mp3
has to be determined. 11. The learned judicial magistrate as well as the revision Auth.  had relied on the decision reported in 2008 (1) ctc,audio_1_39.mp3
496 (s.gopal vs.  p. Balachandran) (cited supra) and has also relied on a decision reported in 2010 1 ctc 424 (r. Jagadeesan vs.  n. Ayyasamy,audio_1_40.mp3
"and Anr. ) (cited supra), wherein it is held that there is no facility available to determine the age of the ink. However, Anr.  learned single",audio_1_41.mp3
judge of this court has now held that the central forensic science laboratory at hyderabad has the facility to ascertain the age of the ink.,audio_1_42.mp3
"12. In my considered opinion, the latest judgment of the learned single judge of this court in crp (pd) no.1475 of 2010 is not a",audio_1_43.mp3
"contradictory judgment to the earlier judgment of the learned single judge in the Cas.  of r. Jagadeesan vs.  n. Ayyasamy and Anr. , reported in 2010",audio_1_44.mp3
"(1) ctc 424. Hon'ble  r.S.  ramanathan j. Has differentiated the earlier judgment of Hon'ble  S.  nagamuthu j, and has ordered sending the document to be",audio_1_45.mp3
"examined by the cfsl, hyderabad as they claim the facility is available. 13. Since the learned magistrate has dismissed the Appl.  based on the earlier",audio_1_46.mp3
"judgment, i am of the considered view that when there is facility available, a fair trial requires that a chance must be given to the",audio_1_47.mp3
"accused/petitioner as he has taken a definite stand that the cheque was issued to a different person in the year 1998-1999, which has been used",audio_1_48.mp3
"by the complainant in the year 2004. However, as observed in the order dated 2.11.2010 in crp (pd) no.1475 of 2010, an admitted signature of",audio_1_49.mp3
"the petitioner of the same year should also be sent for comparison. 14. Therefore, the Crl.  O.P.  is allowed and the order passed by",audio_1_50.mp3
"the learned additional district and sessions judge, gopichettypalayam in Crl.  r.c.no.37/2008 dated 10.11.2009 and learned judicial magistrate, sathyamangalam in cmp no.3579 of 2007 in c.c.no.595",audio_1_51.mp3
"of 2004a. Devaraj vs.  rajammal on 1 february, 2011",audio_1_52.mp3
15. The revision petitioner is directed to submit his admitted signature as stated above within a period of two weeks from the date of receipt,audio_1_53.mp3
of a copy of this order before the LC . The LC  is directed to send both the documents to the central forensic science,audio_1_54.mp3
"laboratory, directorate of forensic science as stated above. The LC  is directed to fix the remuneration to the Adv.  commissioner and also for the",audio_1_55.mp3
"expenses for comparison. If the revision petitioner fails to produce the admitted signature for comparison as stated above within the stipulated period, the revision petitioner",audio_1_56.mp3
"is not entitled to ask for sending the documents for comparison. Consequently, the connected mps are closed. Sr to 1. Additional district and sessions judge,",audio_1_57.mp3
"gopichettypalayam 2. The judicial magistrate, sathyamangalama. Devaraj vs.  rajammal on 1 february, 2011",audio_1_58.mp3
"Bharathi rock products vs.  gangambika enterprises on 10 march, 2023 kabc030972102021 presented on : 30-12-2021 registered on : 30-12-2021 decided on : 10-03-2023 duration :",audio_2_1.mp3
"1 years, 2 months, 11 days in the court of xxvii addl. Chief MM , bengaluru present: sri. H. Satish b.a.l. Ll.b., ll.m., xxvii a.c.m.m",audio_2_2.mp3
bengaluru. Dated: this the 10 th day of march 2023. C.c. No.37392/2021 complainant bharathi rock products (india) pvt.ltd. (formerly mines and rock products (india Pvt. ,audio_2_3.mp3
"ltd), no.24, old 56 b/34, 1st main, lower palace orchards, viyalikaval, bengaluru-560003. Rep.by AR , srivallabha .k.s., s/o. Late shamanna aged about 50 years. (by",audio_2_4.mp3
"sri. Jayaraj gowda. M.n. Adv. ) v/s. Accused 1. Gangambika enterprises situated at, gokul (village), basavakalyan, bidar 585327 representative by its authorized person, sri. Ravi reddy",audio_2_5.mp3
"s/o. Venkatareddy patil, major, 2. Sri. Ravi reddy, s/o. Venkatareddy patil, represented by its authorized person gangambika enterprises, situatedat No.  gokul (village) basavakalyan,bharathi rock products",audio_2_6.mp3
"vs.  gangambika enterprises on 10 march, 2023",audio_2_7.mp3
"(by sri.samuel s dandin adv.,) u/s.138 of negotiable instruments offence act. 2 c.c. No.  37392/2021 plea of the accused claims to be tried final order",audio_2_8.mp3
convicted judgment date 10/03/2023 **** judgment the complainant Co.  has filed complaint u/sec.200 of Cr.P.C.  against the accused for the offence punishable,audio_2_9.mp3
u/sec.138 of negotiable instrument act. 2. The facts germane for disposal of the instant complaint can be summarized as per following:- it is the Cas. ,audio_2_10.mp3
"of the complainant Co.  that, the complainant Co.  was formerly known as mines and rock products (india pvt ltd.,) and it is engaged in the",audio_2_11.mp3
business of supply of mines and rock products and the accused no.1 is engaged in the similar type of business and the accused No.  2,audio_2_12.mp3
"being the owner of the accused no.1 concern used to purchase material sand, p-sand, jelly and coarse products with the complainant Co.  as and when",audio_2_13.mp3
"required and as per the books of account, the accused has purchased coarse products on various dates from 01/09/2018 and stated that as per the",audio_2_14.mp3
"books of accounts maintained by the complainant Co.  as on 01/09/2018, the accused was due to the complainant Co.  to the tune of rs.48,205/- and",audio_2_15.mp3
"the accused failed to repay the said amount despite repeated request. 3. It is stated that, after persistent request and demand, towards discharge of outstanding",audio_2_16.mp3
"liability due and payable, the accused issued cheque bearing no.000005 dated 20/11/2018 for a sum of rs.48,205/- drawn on hdfc bank, no.55 a, sadahalli village,",audio_2_17.mp3
"devanahalli taluk, bengaluru in favour of the complainant Co.  and assured that the same would be honoured on its presentation and the complainant Co.  presented",audio_2_18.mp3
"the said cheque on 20/11/2018 for encashment through its banker i.e., axis bank, sadhashiva nagar branch, bengaluru and the same got dishonoured and returned with",audio_2_19.mp3
"an endorsement dated:23/11/2018 stating "" funds insufficient "" . Thereafter, the complainant Co.  got issued demand notice dated: 15/12/2018 to the accused through rpad calling",audio_2_20.mp3
"upon him to make the payment covered under the aforesaid cheque, within 15 days from the date of receipt of notice and the said notice",audio_2_21.mp3
"was returnedbharathi rock products vs.  gangambika enterprises on 10 march, 2023",audio_2_22.mp3
"Hence, this complaint. 4. It is to be noted that, there was a delay in filing the complaint and this court vide order dated: 04/12/2021",audio_2_23.mp3
"condoned the delay in filing the complaint. Thereafter, the sworn statement of the AR  of the complainant Co.  by name srivallabha. K.s was recorded.",audio_2_24.mp3
"As the complainant had complied the mandatory requirements of S.  138 of negotiable instrument act, the court issued summons to the accused. After service of",audio_2_25.mp3
"summons, accused entered appearance and was enlarged on bail. 5. The plea of the accused was recorded and the substance of the accusation was read",audio_2_26.mp3
"over to the accused in the language known to him and the same was explained, to which, accused pleaded not guilty and submitted he has",audio_2_27.mp3
"defence to make. 6. In order to prove the Cas. , the AR  of the complainant Co.  by name srivallabha. K.s got himself examined as",audio_2_28.mp3
pw.1 and got marked ex.p1 to ex.p13 documents. 7. The statement of accused under S.  313 Cr.P.C.  was recorded and the accused,audio_2_29.mp3
denied the incriminating evidence appearing against him. The accused has not let in his side oral evidence and no documents are marked on his behalf.,audio_2_30.mp3
8. Heard arguments on both sides. I have perused the materials on record. 9. The following points arise for my determination: (i) whether the complainant,audio_2_31.mp3
"Co.  proves that towards discharge of liability due and payable, the accused issued cheque bearing no.000005, for Rs.  48,205/- drawn on hdfc bank, no.55, sadahalli",audio_2_32.mp3
"village, devanahalli taluk, bengaluru in favour of complainant Co.  ? (ii) whether the complainant Co.  proves that accused has committed an offence punishable u/sec.138 of",audio_2_33.mp3
negotiable instrument act? (iii) what order? 10. My answer to the above points is as per following:- point no.1& 2 : in the affirmative point,audio_2_34.mp3
"no.3 : as per the final order, for the following:-bharathi rock products vs.  gangambika enterprises on 10 march, 2023",audio_2_35.mp3
"11. Point nos.1 & 2 : in order to prove the Cas. , the AR  of the complainant Co.  by name sri. Srivallabha. K.s got",audio_2_36.mp3
himself examined as pw.1 and the Aff.  filed by him in lieu of sworn statement was treated as examination in chief as per the dictum,audio_2_37.mp3
"laid down in the ruling of the Hon'ble  apex court of india, reported in (2014) 5 scc 590 (indian bank Assn.  & ors v/s. Union",audio_2_38.mp3
of india & ors). Pw1 got marked ex.p1 to p13 documents. 12. The complainant Co.  has exhibited the following ex.p1 to p13 documents. Ex.p1 is,audio_2_39.mp3
"the certified copy of board resolution, ex.p2 is the statement of account, ex.p3 is the cheque dated: 20/11/2018, ex.p3(a) is the signature of accused, ex.p4",audio_2_40.mp3
"is the bank endorsement dt:23/11/2018, ex.p5 is the office copy of legal notice dated : 15/12/2018, ex.p6 & 7 are the postal receipts, ex.p8 &",audio_2_41.mp3
"9 are postal covers, ex.p10 & 11 are the invoices and ex.p12 & 13 are the bills. 13. The learned counsel for the complainant vehemently",audio_2_42.mp3
argued that the accused has admitted that ex.p3 cheque belongs to him and the signature appearing thereon also belongs to him and argued the accused,audio_2_43.mp3
has taken a contention that the subject cheque was issued by him in the year 2012 and to establish the same the accused has not,audio_2_44.mp3
stepped into witnesses box and he has not produced any documents to show that he is not liable to pay the amount covered under the,audio_2_45.mp3
ex.p3 cheque and argued the complainant Co.  has produced all relevant document to establish the transaction in question and argued the accused has taken defence,audio_2_46.mp3
that pw1 is not having proper Auth.  to depose on behalf of the complainant Co.  and he has also taken defence that ex.p5 legal notice,audio_2_47.mp3
was not served upon him and argued the complainant Co.  has produced Auth.  letter / resolution to establish that pw1 is authorized person to depose,audio_2_48.mp3
on behalf of the complainant Co.  and argued no positive evidence is placed on record by the accused to establish that he was not running,audio_2_49.mp3
business shown in the ex.p5 legal notice or that he was not at all residing in the address shown in the ex.p5 notice and argued,audio_2_50.mp3
the summons issued by the court was served upon the accused to the address mentioned in the ex.p5 legal notice and argued by examining pw1,audio_2_51.mp3
"and by producing all relevant documents, the complainant Co.  has ably established its Cas.  and the accused has failed to rebut the presumption as contemplated",audio_2_52.mp3
u/sec. 139 of the NI Act  and sought to convict the accused. In support of his arguments the learned counsel for the complainant has,audio_2_53.mp3
relied on the following rulings: 1. (2010) 11 scc 441 decided between rangappa v/s mohan 2. (2015) 8 scc 378 decided between t. Vasantha kumar,audio_2_54.mp3
v/s vijayakumari 3. (2018) 8 scc 165 kishon rao v/s shankar gowda 4. Ilr 2019 kar 493 decided between sri. Yogesh poojari v/s k. Shankar,audio_2_55.mp3
"bhatbharathi rock products vs.  gangambika enterprises on 10 march, 2023",audio_2_56.mp3
"Hon'ble  HC  of karnataka 6. Crl. Appeal no.271/2020 decided between aps forex services pvt ltd., v/s shakthi international fashion linkers and Ors.  by the",audio_2_57.mp3
"Hon'ble  apex court. 14. Per-contra, the learned counsel for the accused stoutly argued that the complainant Co.  has not produced cogent materials to establish that",audio_2_58.mp3
pw1 is authorized to appear and depose on behalf of the complainant Co.  and argued the complainant Co.  has produced tax invoices and the account,audio_2_59.mp3
statements and argued the amount mentioned in the said documents and the amount mentioned in the ex.p3 cheque does not tally with each other and,audio_2_60.mp3
argued the cheque in question issued by the accused towards security has been misused by the complainant Co.  and argued pw1 himself has admitted that,audio_2_61.mp3
the ink used for signature and the ink used for writing the contents of cheque differs and argued ex.p5 legal notice was not served upon,audio_2_62.mp3
"the accused and argued by eliciting material answers from pw1, the accused has disprove the Cas.  of the complainant and thereby he has rebutted the",audio_2_63.mp3
presumption as contemplated u/sec. 139 of the NI Act  and sought to acquit the accused. In support of his arguments the learned counsel for,audio_2_64.mp3
the accused relied on the following rulings: 1. (2014) 2 scc 236 decided between john k abraham v/s. Simon c abraham and Anr.  2. (2010),audio_2_65.mp3
Crl.  lj. 3783 decided between garhwal mandal vikas nigam Ltd.  and other v/s. Mata gargh and Co.  and Anr.  by the Hon'ble  uttaranchal HC .,audio_2_66.mp3
3. (2015) 1 bankmann 200 decided between chabra fabrics pvt Ltd.  v/s. Baghavant by the Hon'ble  punjab and hariyana HC . 4. Crl.  appeal no.1219/2017,audio_2_67.mp3
decided between justin john v/s. Chako thomas by the Hon'ble  kerala HC . 5. Crl.  appeal no.1251/2010 decided between sriram transport v/s.syed alim shabir by,audio_2_68.mp3
the Hon'ble  karnataka HC . 6. (2015) 12 scc 203 decided between a.c. Narayanan v/s. State of maharastra 7. (2014) 10 scc 473 decided between,audio_2_69.mp3
anwar p.v. V/s. Basheer 15. I have gone through the rulings relied on by the complainant and accused and i have taken note of the,audio_2_70.mp3
"principles laid down in the aforesaid rulings and i have also adopted the same while deciding the instant Cas. . That apart, on considering the arguments",audio_2_71.mp3
"addressed by the learned counsel for the complainant and accused, before adverting to the oral evidence let in by the complainant and without touching upon",audio_2_72.mp3
"the defence set up by the accused, the documents produced by thebharathi rock products vs.  gangambika enterprises on 10 march, 2023",audio_2_73.mp3
"Has discharged initial burden of proving issuance of cheque, presentation of ex.p3 cheque, bouncing of cheque and issuance of notice. At this juncture, i find",audio_2_74.mp3
"it relevant to quote ruling reported in 2010(11) scc 441, decided between rangappa vs. Sri. Mohan wherein the Hon'ble  apex court held that: "" presumption",audio_2_75.mp3
"under S.  139 of negotiable instrument act, 1881 includes the presumption of the existence of legally enforceable debt or liability. That presumption is required to",audio_2_76.mp3
"be honoured and if it is not so done, the entire basis of making these provision will be lost. Therefore, it has been held that,",audio_2_77.mp3
it is for the accused to explain his Cas.  and defend it once the fact of cheque bouncing is prima-facie established. The brain is on,audio_2_78.mp3
"him to disprove the allegations once a prima-facie Cas.  is made out by the complainant "". 16. In the aforesaid ruling the Hon'ble  apex court",audio_2_79.mp3
"has held that, once the complainant establishes bouncing of cheque, then it is for the accused to disprove the allegations and also it is for",audio_2_80.mp3
him/her to rebut the presumption as contemplated under S.  139 of negotiable instrument act by placing acceptable evidence . In the ruling decided in Crl. ,audio_2_81.mp3
appeal No.  1233 - 1235 of 2022 decided on 12/08/2022 by the hon'ble apex court between rasiya v/s abdul nazar the Hon'ble  apex court at,audio_2_82.mp3
"Para.  7 held that as per sec.139 of the NI Act , it shall be presumed, unless the contrary is proved, that the holder of",audio_2_83.mp3
"a cheque received the cheque of the nature referred to in sec.138 of the NI Act  for discharge, in whole or in part, of",audio_2_84.mp3
"any debt or other liability. Therefore, once the initial burden is discharged by the complainant that the cheque was issued by the accused and the",audio_2_85.mp3
"signature and the issuance of cheque is not disputed by the accused, in that Cas. , the onus will shift on the accused to prove the",audio_2_86.mp3
contrary that the cheque was not for any debt or other liability. The presumption u/sec. 139 of the NI Act  is a statutory presumption,audio_2_87.mp3
"and thereafter, once it is presumed that the cheque is issued in whole or in part of any debt or other liability which is in",audio_2_88.mp3
"favour of the complainant / holder of cheque, in that Cas. , it is for the accused to prove the contrary. In the light of the",audio_2_89.mp3
"principle laid down above, it is worth to note that, during cross-examination dated: 17/06/2022 of pw1 at Para.  6, the accused has suggested to pw1",audio_2_90.mp3
"that in the year 2012 the accused had transacted with mines and rocks products (india pvt ltd.,) and at that time the accused had given",audio_2_91.mp3
ex.p3 signed blank cheque and the complainant Co.  has filled-up false contents in the said cheque and presented the same in the year 2018. The,audio_2_92.mp3
"said suggestion has been denied by pw1. It is to be noted that, the said suggestion indicates that, the accused is admitting his signature at",audio_2_93.mp3
"ex.p3 cheque and that he also admits that ex.p3 cheque belongs to accused no.1 concern. Therefore, this court will have to draw presumption that the",audio_2_94.mp3
"accused had issued ex.p3 cheque to the complainant Co.  towards discharge of liability. At this juncture, i find it appropriate to quote the ruling reported",audio_2_95.mp3
"in: (2009) 2 scc 513 decided between kumar exports v/s.bharathi rock products vs.  gangambika enterprises on 10 march, 2023",audio_2_96.mp3
"Accused to disprove the Cas.  of the complainant and to rebut the presumption as envisaged u/sec. 139 of the negotiable instrument act,. At Para.  20",audio_2_97.mp3
"& 21 held that, the accused in a trial u/sec. 138 of the NI Act  has two options. He can either show that consideration",audio_2_98.mp3
"and debt did not exist or that under the particular circumstances of the Cas. , the non- existence of consideration and debt is so probable that",audio_2_99.mp3
"a prudent man ought to suppose that no consideration and debt existed. To rebut the statutory presumption, an accused is not expected to prove his",audio_2_100.mp3
defence beyond reasonable doubt as his expected of the complainant in a Crl.  trial. The accused may adduce direct evidence to prove that the note,audio_2_101.mp3
"in question was not supported by consideration and there was no debt or liability to be discharged by him. However, the court need not insist",audio_2_102.mp3
"in every Cas. , that the accused should disprove the non-existence of consideration and debt by leading direct evidence because the existence of negative evidence is",audio_2_103.mp3
"neither possible nor contemplated. At the same time, it is clear that, bare denial of the passing of the consideration and the existence of debt,",audio_2_104.mp3
apparently would not serve the purpose of the accused. Something which is probable has to be brought on record for getting the burden of prove,audio_2_105.mp3
"shifted to the complainant. To disprove the presumptions, the accused should bring on record such facts and circumstances, upon consideration which, the court may either",audio_2_106.mp3
believe that the consideration and debt did not exist or there non-existence was so probable that a prudent man would under the circumstances of the,audio_2_107.mp3
"Cas. , act upon the plea that they did not exist. Apart from adducing direct evidence to prove that the note in question was not supported",audio_2_108.mp3
"by the consideration or that he had not incurred any debt or liability, the accused may also rely upon circumstantial evidence and if the circumstances,",audio_2_109.mp3
"so relied upon or compelling, the burden may like wise, shift again on to the complainant. The accused may also rely upon presumptions of fact,",audio_2_110.mp3
"for instance, those mentioned in sec.114 of the evidence act, to rebut the presumption u/sec. 118 & 139 of the NI Act . Para.  21:",audio_2_111.mp3
the accused has also an option to prove the non-existence of consideration and debt or liability either by letting in evidence or in some clear,audio_2_112.mp3
"and exceptional cases from the Cas.  set out by the complainant, i.e.  the averments in the complaint, the Cas.  set out in the statutory",audio_2_113.mp3
"notice and evidence adduced by the complainant during the trial. Once such rebuttal evidence is adduced and accepted by the court, having regard to all",audio_2_114.mp3
"the circumstances of the Cas.  and the preponderance of probabilities, the evidential burden shift back to the complainant and, therefore, the presumption u/sec. 118 and",audio_2_115.mp3
"139 of the NI Act  will not again come to the complainant's rescue. 17. In the light of the principle laid down above, it",audio_2_116.mp3
"is worth to note that, the accused has not stepped in to the witness box to disprove the Cas.  of the complainant Co. . The Hon'ble ",audio_2_117.mp3
apex court in the ruling reported in 2019 scc online SC  491 decided between basalingappa v/s mudibasappa at para 25(3)(4) and (5) has categorically,audio_2_118.mp3
"held that: to rebut the presentation, it is open for the accused to rely on evidence led by him or the accused can rely on",audio_2_119.mp3
the material submitted by the complainant in order to raise a probable defence. Inference of preponderance of probabilities can be drawn not only from the,audio_2_120.mp3
"material brought on record by the parties, but also by reference to the circumstances which they rely and also held, it is not necessary for",audio_2_121.mp3
"the accused tobharathi rock products vs.  gangambika enterprises on 10 march, 2023",audio_2_122.mp3
"Burden and not a persuasive burden. In the light of the principle laid down above, it is not necessary for the accused to step into",audio_2_123.mp3
"the witness box to disprove the Cas.  of the complainant. In this backdrop, now i enter in to the domain of defense set up by",audio_2_124.mp3
"the accused, to ascertain whether accused has been able to rebut the presumption as contemplated u/sec. 139 of the NI Act , by placing acceptable",audio_2_125.mp3
"evidence, for which i find it appropriate to examine each and every aspect in detail. I. Auth.  of pw1: 18. It is to be noted",audio_2_126.mp3
"that, the accused has taken a defence that pw1 is not an authorized person to depose on behalf of the complainant Co. . During cross- examination,",audio_2_127.mp3
"dated: 06/05/2022 at Para.  1, pw1 deposed that, he is working as deputy general manager in the complainant Co.  from 03/07/2018 and one anupkumar saksena",audio_2_128.mp3
is the director of the complainant Co.  and admitted as per ex.p1 anupkumar saksena has given Auth.  letter in favour of deepak rajendran. Pw1 deposed,audio_2_129.mp3
"that he is having complete information about the instant Cas. , pw1 admitted that at Para.  3 of the complaint, it is mentioned that the complainant",audio_2_130.mp3
Co.  has issued Auth.  letter to him and to one nandish on 10/01/2018 to appear on behalf of the complainant Co.  and admitted that he,audio_2_131.mp3
"has not produced resolution dated: 10/01/2018 before the court. At Para.  2, pw1 denied that he is not having proper Auth.  to depose on behalf",audio_2_132.mp3
of the complainant Co.  and he voluntarily deposed that he has produced Auth.  letter before the court when he tendered evidence in respect of filing,audio_2_133.mp3
"the complaint belatedly and denied that he has not produced resolution dated: 10/01/2018 even at that time. At Para.  3, pw1 deposed €€€ 10/01/2018 □□‚€",audio_2_134.mp3
"ƒ□□„ …□†€‡ˆ □‰‚‚ š€‚‡ˆ …□□‰‰ €‰□š‹€œœ□ˆˆˆ □□‚□ ‹… œ€€ € †□ž‚ˆ‹□‚…□‚€ €€□‡€œœ□. ‚‘ˆ’“€€ 19. It is to be noted that, in order to establish that",audio_2_135.mp3
"pw1 is authorized to appear in the instant Cas.  and to depose on behalf of the complainant Co. , pw1 has produced ex.p1 resolution dated: 05/01/2019.",audio_2_136.mp3
"On careful scrutiny of the same, it depicts that the same is signed by the director of the complainant Co.  by name anupkumar saksena. The",audio_2_137.mp3
said document discloses that the complainant Co.  had authorized mr. Deepak rajendran to execute documents and to appear on behalf of the Co.  as authorized,audio_2_138.mp3
representative. In the said document the complainant Co.  had also authorized the said deepak rajendran to delegate Auth.  conferred on him by the complainant Co. ,audio_2_139.mp3
"in favour of any other officials of the Co.  or other persons as he deems fit. It is to be noted that, on careful scrutiny",audio_2_140.mp3
"of the complaint, at Para.  3 it is mentioned that resolution dated: 10/01/2018 has been passed by the complainant Co.  authorizing pw1 and one m.c.",audio_2_141.mp3
Nandisha to execute documents and to appear on behalf of the complainant Co.  and it is also mentioned that complainant Co.  is producing resolution letter,audio_2_142.mp3
dated: 05/01/2019 and 20/02/2019. 20. As discussed pw1 has voluntarily deposed that he has produced resolution and authorization letter when he adduced evidence in respect,audio_2_143.mp3
"of the delay in filing complaint. It is required to be notedbharathi rock products vs.  gangambika enterprises on 10 march, 2023",audio_2_144.mp3
"Has produced ex.p1 to p5 documents. On scrutiny of ex.p2 document, it discloses that the director of complainant Co.  by name deepak rajendran had issued",audio_2_145.mp3
"authorization letter on 20/02/2019 in-favour of pw1 to appear and to give evidence on behalf of the complainant Co. . Therefore, by taking note of ex.p2",audio_2_146.mp3
"document marked at the time of enquiry of pw1 on delay Appl. , makes it clear that pw1 had all the Auth.  to institute the complaint",audio_2_147.mp3
and also to adduce evidence on behalf of the complainant Co.  and the stand taken by the accused that pw1 is not an authorized person,audio_2_148.mp3
"to appear on behalf of the complainant Co.  and to adduce evidence does not hold water. (ii) transaction: 21. It is to be noted that,",audio_2_149.mp3
"it is the Cas.  of the complainant Co. , that the accused had purchased materials from the complainant Co.  from 01/09/2018 and that it had maintained",audio_2_150.mp3
"books of account. During cross-examination dated: 17/06/2022 at Para.  4, pw1 deposed that he cannot say as per ex.p2, that when the accused had placed",audio_2_151.mp3
"purchase order and on which date, which product and its quantity was supplied to the accused firm. Pw1 voluntarily deposed that the same will not",audio_2_152.mp3
be mentioned at ex.p2 and it will be mentioned only in invoices and admitted except ex.p2 document he has not produced any other documents. Pw1,audio_2_153.mp3
"denied that as per ex.p2, the accused has not transacted with the complainant Co.  between 01/04/2016 and 31/08/2017 and because of which the complainant Co. ",audio_2_154.mp3
"has not produced purchase order, invoice, lorry receipt and any other documents. 22. It is to be noted that, pw1 got himself further examined in",audio_2_155.mp3
chief and he has produced ex.p10 to ex.p13 documents to establish the transaction in question. On scrutiny of ex.p10 and ex.p11 tax invoices the value,audio_2_156.mp3
"of the materials mentioned in the said documents amounts to rs.29,837/- and rs.21,701/- respectively and the said documents are dated: 26/05/2017 and 30/05/2017. The complainant",audio_2_157.mp3
"Co.  has produced ex.p12 and ex.p13 bills to establish that the goods were delivered to the accused. During cross-examination dated: 28/07/2022 at Para.  1, pw1",audio_2_158.mp3
"deposed according to him, the accused has to pay money in respect of ex.p10 to ex.p13 documents. The complainant Co.  has produced ex.p2 account statement",audio_2_159.mp3
